Company,Order Plant,Release Plant,Site Name,Region,OrderDate,OrderType,OrderNum,OrderLine,OrderRelNum,CustID,Name,CreditHold,PartNum,SellingReqQty,PackNum,ShipDate,TripNum,Nopol,Driver,ShipToNum,ShipToName,ShipToCity,Plant Coordinate,Cust. Coordinate,Distance KM,NP LL,NP SiteID,NP Site,Distance KM Nearest,NP Gap,EntryPerson,Created User,Status,Status SCM
SIG,SIG002,SIG002,Yogyakarta,Jawa,22/03/2025,TO,500021,1,1,577793,Perum Yolanda Damanik,No Hold,CYOXGFMR0250926,36,645504,25/03/2025,SIG002-942690,AB 2477 ZZ,Kacung Suryatmi,,,,"-7.7956, 110.3695","-4.7641, 118.427645",955.655832,"-5.024839, 110.98915",SIG013,Balikpapan,826.179993,129.475839,Daliono,EMP100011,Shipped,6. Shipped
SIG,SIG008,SIG008,Semarang,Jawa,10/12/2025,SO,500022,1,1,171400,PD Saragih Laksmiwati,Credit Hold,CYOXGFMR0439738,76,308859,16/12/2025,SIG008-311116,AB 7044 YZ,Betania Kurniawan,,,,"-6.9667, 110.4167","0.904264, 108.059501",912.015183,"-0.009585, 109.34938",SIG007,Palu,175.468023,736.54716,Banara,EMP100005,Shipped,6. Shipped
SIG,SIG013,SIG013,Kendari,Sulawesi,28/06/2025,SO,500023,1,1,868889,Perum Uwais Firgantoro Tbk,No Hold,CYOXGFMR0725785,10,801639,08/07/2025,SIG013-272827,B 2076 XY,Dagel Santoso,6,PD Saputra (Persero) Tbk,Manado,"-3.9766, 122.5151","1.4748, 124.8421",657.928524,"-1.12425, 110.114263",SIG001,Denpasar,1660.050399,-1002.121875,Mitra,EMP100003,Allocated,4. Allocated
SIG,SIG018,SIG018,Bekasi,Jawa,07/01/2025,TO,500024,1,1,664981,PD Puspasari,Credit Hold,CYOXGFMR0100418,24,349158,09/01/2025,SIG018-841693,B 2643 YZ,Zaenab Firmansyah,9,UD Ardianto Saragih (Persero) Tbk,Jakarta,"-6.2416, 106.9924","-6.2088, 106.8456",16.69662,"-4.322942, 115.340546",SIG001,Palangkaraya,965.895027,-949.198407,Daliono,EMP100011,Shipped,6. Shipped
SGI,SGI013,SGI013,Depok,Jawa,02/08/2025,TO,500025,1,1,733608,CV Siregar Tbk,Credit Hold,CYOXGFMR0739393,22,339690,09/08/2025,SGI013-475807,AB 5745 YZ,Kenzie Winarno,,,,"-6.4025, 106.7942","-2.338553, 118.924907",1420.061517,"-7.666091, 111.894084",SGI005,Mataram,979.163079,440.898438,Irnanto,EMP100006,Order Released,3. Order Released
SGI,SGI004,SGI004,Mataram,Bali & Nusa Tenggara,01/12/2025,TO,500026,1,1,644686,Perum Sitorus,Aging Hold,CYOXGFMR0653244,58,668026,07/12/2025,SGI004-350216,L 8952 YZ,Tami Rahimah,7,CV Prabowo Tbk,Manado,"-8.5833, 116.1167","1.4748, 124.8421",1478.001519,"0.721729, 118.92485",SGI003,Tangerang,662.112558,815.888961,Samiah,EMP100012,Shipped,6. Shipped
SGI,SGI007,SGI007,Palu,Sulawesi,27/11/2025,SO,500027,1,1,255394,Perum Puspasari (Persero) Tbk,Aging Hold,CYOXGFMR0618054,9,313059,02/12/2025,SGI007-476460,AB 3430 ZZ,Dt. Cecep Kusumo,9,CV Maryati Pratiwi,Denpasar,"-0.8917, 119.8707","-8.65, 115.2167",1004.233761,"0.510177, 107.507957",SGI014,Balikpapan,1328.9142,-324.680439,Harto,EMP100013,Open Order,1. Open Order
SIG,SIG017,SIG017,Gorontalo,Sulawesi,09/03/2025,TO,500028,1,1,698097,UD Zulkarnain Wulandari Tbk,No Hold,CYOXGFMR0223186,45,687416,11/03/2025,SIG017-447725,AB 4809 ZZ,Ir. Ida Novitasari,,,,"0.5372, 123.0615","-5.969384, 114.511657",1192.593879,"-3.394927, 112.958163",SIG008,Tangerang,333.760794,858.833085,Daliono,EMP100011,Credit/Aging Hold,2. Credit/Aging Hold
SGI,SGI011,SGI011,Medan,Sumatra,30/09/2025,SO,500029,1,1,243573,PT Prakasa,Credit Hold,CYOXGFMR0738760,11,956774,02/10/2025,SGI011-954168,L 5816 XY,Gasti Siregar,,,,"3.5952, 98.6722","-0.99493, 116.196307",2010.796857,"-6.133413, 110.420138",SGI009,Balikpapan,858.139335,1152.657522,Harto,EMP100013,Shipped,6. Shipped
SIG,SIG014,SIG014,Gorontalo,Sulawesi,13/08/2025,SO,500030,1,1,220685,PT Sitorus Rajasa Tbk,Credit Hold,CYOXGFMR0049146,77,774472,22/08/2025,SIG014-344853,AB 9205 ZZ,Clara Zulkarnain,8,Perum Mangunsong (Persero) Tbk,Mataram,"0.5372, 123.0615","-8.5833, 116.1167",1272.457824,"0.418696, 107.093273",SIG019,Padang,1414.795788,-142.337964,Aisyah,EMP100002,Order Released,3. Order Released
SIG,SIG002,SIG002,Malang,Jawa,17/05/2025,TO,500031,1,1,686141,CV Nasyidah Pertiwi,Aging Hold,CYOXGFMR0750433,77,144839,25/05/2025,SIG002-702953,D 1738 ZZ,"Raina Sitorus, S.Kom",10,Perum Prasetyo (Persero) Tbk,Palu,"-7.9797, 112.6304","-0.8917, 119.8707",1124.67531,"-1.411345, 108.346618",SIG005,Bandar Lampung,1280.472912,-155.797602,Gandewa,EMP100000,Open Order,1. Open Order
SGI,SGI003,SGI003,Depok,Jawa,09/11/2025,SO,500032,1,1,331413,PD Kusumo,Aging Hold,CYOXGFMR0915410,97,337671,13/09/2025,SGI003-839116,AB 3726 YZ,Rini Kuswoyo,,,,"-6.4025, 106.7942","-7.763635, 118.806652",1341.914631,"-5.060679, 109.673668",SGI020,Pekanbaru,1057.226937,284.687694,Cahyo,EMP100014,Credit/Aging Hold,2. Credit/Aging Hold
SIG,SIG018,SIG018,Jakarta,Jawa,02/07/2025,TO,500033,1,1,110839,UD Hartati Kuswoyo,No Hold,CYOXGFMR0506226,96,168955,11/07/2025,SIG018-777716,D 7410 YZ,Paramita Wacana,,,,"-6.2088, 106.8456","-3.634158, 116.962286",1158.747093,"-4.621516, 110.997632",SIG012,Balikpapan,671.086353,487.66074,Aisyah,EMP100002,Ready to Deliver,5. Ready to Deliver
SIG,SIG018,SIG018,Bandung,Jawa,09/05/2025,TO,500034,1,1,931434,PD Prasetyo,Credit Hold,CYOXGFMR0414402,94,167573,19/05/2025,SIG018-402064,B 7257 ZZ,"dr. Gara Maryadi, S.Gz",,,,"-6.9175, 107.6191","-6.785986, 114.755706",792.297798,"-7.401404, 112.648576",SIG011,Pekanbaru,243.662982,548.634816,Banara,EMP100005,Order Closed - Not Shipped,7. Closed
SGI,SGI009,SGI009,Manado,Sulawesi,21/02/2025,SO,500035,1,1,732813,PT Budiyanto Gunawan Tbk,No Hold,CYOXGFMR0275552,43,435169,22/02/2025,SGI009-866050,AB 5606 ZZ,R.A. Kasiyah Tamba,8,PT Halim Pratama (Persero) Tbk,Pontianak,"1.4748, 124.8421","0.0263, 109.3425",1727.952207,"-1.781251, 116.512152",SGI012,Jambi,820.733334,907.218873,Daliono,EMP100011,Ready to Deliver,5. Ready to Deliver
SIG,SIG008,SIG008,Balikpapan,Kalimantan,06/10/2025,TO,500036,1,1,691966,PD Maryadi Zulaika Tbk,Aging Hold,CYOXGFMR0329852,84,870475,15/10/2025,SIG008-714093,D 1811 XY,"Sakura Novitasari, S.Sos",,,,"-1.2654, 116.8312","-2.849366, 113.14873",444.963702,"-4.784957, 118.263986",SIG007,Semarang,607.083309,-162.119607,Daliono,EMP100011,Order Closed - Not Shipped,7. Closed
SGI,SGI005,SGI005,Depok,Jawa,28/11/2025,SO,500037,1,1,905976,UD Mansur Mandala (Persero) Tbk,No Hold,CYOXGFMR0290668,24,816571,04/12/2025,SGI005-310367,AB 1643 YZ,Puput Budiman,4,Perum Rajata (Persero) Tbk,Depok,"-6.4025, 106.7942","-6.4025, 106.7942",0,"-2.226279, 115.254017",SGI020,Medan,1047.226725,-1047.226725,Aisyah,EMP100002,Shipped,6. Shipped
SGI,SGI020,SGI020,Medan,Sumatra,12/08/2025,SO,500038,1,1,683643,Perum Mangunsong Natsir,Credit Hold,CYOXGFMR0879504,33,481129,14/08/2025,SGI020-135228,D 5279 XY,Aris Hartati,8,UD Mahendra,Mataram,"3.5952, 98.6722","-8.5833, 116.1167",2361.527109,"-6.430422, 109.033184",SGI016,Bekasi,821.783061,1539.744048,Daliono,EMP100011,Credit/Aging Hold,2. Credit/Aging Hold
SIG,SIG018,SIG018,Pontianak,Kalimantan,11/10/2025,SO,500039,1,1,991253,PD Megantara Yuniar Tbk,Aging Hold,CYOXGFMR0186722,50,177951,20/10/2025,SIG018-820539,AB 5371 ZZ,Garang Widiastuti,2,PD Permadi Farida (Persero) Tbk,Mataram,"0.0263, 109.3425","-8.5833, 116.1167",1216.020096,"-3.118657, 118.799126",SIG007,Balikpapan,675.713166,540.30693,Endra,EMP100004,Allocated,4. Allocated
SIG,SIG018,SIG018,Bandar Lampung,Sumatra,08/12/2025,TO,500040,1,1,612769,Perum Permata Wijayanti Tbk,No Hold,CYOXGFMR0042816,37,363362,09/12/2025,SIG018-823369,D 5652 XY,Bakti Prabowo,,,,"-5.3971, 105.2668","-0.9607, 114.387427",1125.802071,"-3.824775, 116.455468",SIG015,Pontianak,392.125815,733.676256,Endra,EMP100004,Shipped,6. Shipped
SIG,SIG016,SIG016,Mataram,Bali & Nusa Tenggara,19/09/2025,TO,500041,1,1,116738,UD Prabowo Firgantoro,No Hold,CYOXGFMR0263291,32,356406,25/09/2025,SIG016-401356,B 7262 XY,"Dwi Wacana, S.H.",10,PT Prabowo,Palu,"-8.5833, 116.1167","-0.8917, 119.8707",950.02791,"-7.7963, 111.800201",SIG010,Surabaya,1178.935218,-228.907308,Banara,EMP100005,Shipped,6. Shipped
SIG,SIG013,SIG013,Mataram,Bali & Nusa Tenggara,10/05/2025,TO,500042,1,1,211696,Perum Wulandari Mustofa Tbk,Aging Hold,CYOXGFMR0901207,29,657916,16/05/2025,SIG013-127148,B 9709 YZ,Drs. Uchita Pradipta,9,Perum Narpati Wulandari,Banjarmasin,"-8.5833, 116.1167","-3.3201, 114.5908",608.272341,"-3.380344, 116.207928",SIG006,Samarinda,179.62575,428.646591,Banara,EMP100005,Ready to Deliver,5. Ready to Deliver
SGI,SGI014,SGI014,Manado,Sulawesi,03/06/2025,SO,500043,1,1,982578,Perum Hutapea Dabukke Tbk,Credit Hold,CYOXGFMR0070804,2,344926,11/03/2025,SGI014-978044,AB 6184 XY,Eluh Habibi,,,,"1.4748, 124.8421","-3.053155, 119.198607",803.132286,"-4.187129, 114.225006",SGI005,Palembang,566.237196,236.89509,Aisyah,EMP100002,Shipped,6. Shipped
SGI,SGI019,SGI019,Samarinda,Kalimantan,27/04/2025,TO,500044,1,1,371789,CV Salahudin Mansur Tbk,No Hold,CYOXGFMR0433507,100,753917,06/05/2025,SGI019-231151,D 3829 XY,R. Akarsana Dabukke,,,,"-0.5022, 117.1536","0.126958, 112.137912",561.104334,"-0.130864, 117.766511",SGI005,Samarinda,625.429611,-64.325277,Mitra,EMP100003,Allocated,4. Allocated
SGI,SGI019,SGI019,Mataram,Bali & Nusa Tenggara,12/07/2025,SO,500045,1,1,383685,PT Natsir,Credit Hold,CYOXGFMR0077504,43,780427,20/07/2025,SGI019-797655,B 1966 ZZ,"drg. Amalia Utama, S.H.",,,,"-8.5833, 116.1167","-7.679673, 119.914309",433.303596,"-6.803711, 111.301208",SGI016,Palembang,960.98583,-527.682234,Endra,EMP100004,Ready to Deliver,5. Ready to Deliver
SIG,SIG019,SIG019,Pontianak,Kalimantan,15/03/2025,SO,500046,1,1,671781,UD Padmasari,Aging Hold,CYOXGFMR0973779,5,829256,18/03/2025,SIG019-659535,D 6781 ZZ,Ir. Bagiya Mustofa,7,PD Santoso (Persero) Tbk,Makassar,"0.0263, 109.3425","-5.1477, 119.4327",1258.675509,"-4.660409, 113.118937",SIG001,Samarinda,702.911829,555.76368,Cahyo,EMP100014,Order Closed - Not Shipped,7. Closed
SGI,SGI019,SGI019,Jakarta,Jawa,14/07/2025,SO,500047,1,1,406127,PT Uyainah Andriani,Aging Hold,CYOXGFMR0877113,46,143350,17/07/2025,SGI019-976221,L 4395 XY,Kairav Utama,,,,"-6.2088, 106.8456","-0.514595, 119.879027",1578.754776,"-3.881611, 113.156853",SGI005,Surabaya,834.528192,744.226584,Daliono,EMP100011,Open Order,1. Open Order
SGI,SGI001,SGI001,Yogyakarta,Jawa,05/07/2025,TO,500048,1,1,963496,UD Astuti Tbk,Credit Hold,CYOXGFMR0945670,1,823044,10/07/2025,SGI001-535637,D 6886 YZ,"dr. Fitria Andriani, M.TI.",9,UD Sitompul Andriani (Persero) Tbk,Mataram,"-7.7956, 110.3695","-8.5833, 116.1167",643.903119,"-5.978854, 109.284847",SGI007,Tangerang,811.571394,-167.668275,Banara,EMP100005,Shipped,6. Shipped
SIG,SIG018,SIG018,Semarang,Jawa,03/07/2025,TO,500049,1,1,798175,Perum Pudjiastuti Hassanah (Persero) Tbk,No Hold,CYOXGFMR0626947,42,594015,07/07/2025,SIG018-452245,D 7589 XY,"Elisa Uyainah, M.Kom.",,,,"-6.9667, 110.4167","-3.726502, 119.260179",1045.440846,"-1.97645, 112.700248",SIG004,Jakarta,753.618738,291.822108,Wage,EMP100007,Allocated,4. Allocated
SGI,SGI007,SGI007,Palu,Sulawesi,07/05/2025,TO,500050,1,1,306187,UD Dabukke (Persero) Tbk,No Hold,CYOXGFMR0806745,81,645931,08/05/2025,SGI007-963126,L 2803 XY,Asirwada Suartini,,,,"-0.8917, 119.8707","-2.350408, 108.976421",1220.056833,"-2.306836, 112.09145",SGI002,Manado,345.802074,874.254759,Samiah,EMP100012,Order Closed - Not Shipped,7. Closed
SGI,SGI007,SGI007,Bandar Lampung,Sumatra,30/09/2025,SO,500051,1,1,141564,PT Kusmawati,No Hold,CYOXGFMR0945675,55,679658,07/10/2025,SGI007-176757,L 9529 YZ,"Humaira Saputra, S.Gz",4,UD Utami,Balikpapan,"-5.3971, 105.2668","-1.2654, 116.8312",1363.115631,"-0.833255, 108.523026",SGI008,Palu,923.453955,439.661676,Lukman,EMP100001,Ready to Deliver,5. Ready to Deliver
SGI,SGI005,SGI005,Palu,Sulawesi,30/07/2025,SO,500052,1,1,894136,CV Sihombing (Persero) Tbk,No Hold,CYOXGFMR0710953,100,485062,08/08/2025,SGI005-912198,D 7739 YZ,"Ir. Lili Kusmawati, S.I.Kom",5,PT Firmansyah (Persero) Tbk,Bekasi,"-0.8917, 119.8707","-6.2416, 106.9924",1547.930853,"-0.573236, 108.112843",SGI019,Kupang,641.36244,906.568413,Banara,EMP100005,Order Closed - Not Shipped,7. Closed
SIG,SIG012,SIG012,Mataram,Bali & Nusa Tenggara,17/08/2025,TO,500053,1,1,790482,CV Wijaya (Persero) Tbk,No Hold,CYOXGFMR0370813,59,796390,19/08/2025,SIG012-869448,AB 3032 XY,"Cut Tina Prasetya, S.Ked",,,,"-8.5833, 116.1167","-7.503406, 117.38778",185.134458,"-7.415578, 107.997204",SIG020,Tangerang,1042.399557,-857.265099,Banara,EMP100005,Allocated,4. Allocated
SIG,SIG010,SIG010,Bandung,Jawa,16/03/2025,SO,500054,1,1,134281,CV Winarsih,Credit Hold,CYOXGFMR0255451,52,173665,19/03/2025,SIG010-251817,AB 1212 ZZ,"Aswani Widiastuti, S.Gz",2,UD Siregar Prasasta,Pontianak,"-6.9175, 107.6191","0.0263, 109.3425",794.146392,"1.035076, 113.604226",SIG002,Gorontalo,486.123501,308.022891,Harto,EMP100013,Allocated,4. Allocated
SIG,SIG019,SIG019,Medan,Sumatra,24/12/2025,TO,500055,1,1,603062,CV Nasyidah Hartati (Persero) Tbk,Credit Hold,CYOXGFMR0413303,14,819263,31/12/2025,SIG019-791241,L 2191 YZ,Drs. Bagya Irawan,,,,"3.5952, 98.6722","0.777164, 109.863478",1281.009375,"-0.992502, 107.613701",SIG016,Banjarmasin,317.724069,963.285306,Lukman,EMP100001,Shipped,6. Shipped
SIG,SIG011,SIG011,Surabaya,Jawa,03/11/2025,SO,500056,1,1,526461,PD Rahayu Dabukke (Persero) Tbk,Credit Hold,CYOXGFMR0956115,30,331950,09/11/2025,SIG011-877510,D 7901 XY,Widya Sihotang,,,,"-7.2504, 112.7688","-4.556874, 117.124691",568.476843,"-7.668556, 118.606148",SIG020,Kendari,382.544073,185.93277,Cahyo,EMP100014,Shipped,6. Shipped
SIG,SIG006,SIG006,Balikpapan,Kalimantan,23/06/2025,SO,500057,1,1,325714,Perum Handayani,Aging Hold,CYOXGFMR0378077,25,790838,27/06/2025,SIG006-953996,D 2259 YZ,"Artanto Nasyidah, S.T.",7,CV Lailasari Tbk,Surabaya,"-1.2654, 116.8312","-7.2504, 112.7688",802.916946,"1.394219, 107.86023",SIG003,Malang,1103.451111,-300.534165,Aisyah,EMP100002,Shipped,6. Shipped
SIG,SIG006,SIG006,Manado,Sulawesi,08/03/2025,TO,500058,1,1,744621,Perum Suwarno,Credit Hold,CYOXGFMR0272566,90,507038,13/03/2025,SIG006-771320,AB 9901 YZ,"Drs. Ilsa Maryadi, M.Kom.",,,,"1.4748, 124.8421","-2.388396, 117.848766",886.826841,"-3.291881, 116.813811",SIG009,Mataram,152.495463,734.331378,Lukman,EMP100001,Order Closed - Not Shipped,7. Closed
SIG,SIG020,SIG020,Kupang,Bali & Nusa Tenggara,11/04/2025,SO,500059,1,1,617425,PD Permadi Tbk,Aging Hold,CYOXGFMR0099651,20,529070,13/04/2025,SIG020-448123,L 1788 ZZ,Dodo Narpati,7,PD Wibowo Tbk,Jambi,"-10.1772, 123.607","-1.4852, 102.4381",2540.113677,"-3.90868, 106.544797",SIG008,Banjarmasin,529.299171,2010.814506,Lukman,EMP100001,Shipped,6. Shipped
